title,price,availability,rating,category,image_path,id
It's Only the Himalayas,45.17,In stock,Two,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images27a53d0bb95bdd88288eaf66c9230d7e.jpg,1
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,In stock,Four,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images57770cac1628f4407636635f4b85e88c.jpg,2
See America: A Celebration of Our National Parks & Treasured Sites,48.87,In stock,Three,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images9a7e63f12829df4b43b31d110bf3dc2e.jpg,3
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,In stock,Two,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/imagesd5bf0090470b0b8ea46d9c166f7895aa.jpg,4
Under the Tuscan Sun,37.33,In stock,Three,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images98c2e95c5fd1a4e7cd5f2b63c52826cb.jpg,5
A Summer In Europe,44.34,In stock,Two,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images4e15150388702ebca2c5a523ac270539.jpg,6
The Great Railway Bazaar,30.54,In stock,One,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images76de41867f323d7f1f4fbe2fdfc1b2ba.jpg,7
A Year in Provence (Provence #1),56.88,In stock,Four,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/imagesdb46159b05faa5d95262112bf9c29ddd.jpg,8
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,In stock,One,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/imagese04f8eda2a2fa947aec17640202d9ab0.jpg,9
Neither Here nor There: Travels in Europe,38.95,In stock,Three,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images0681530a7bc301caf5c3257e1b0f0750.jpg,10
"1,000 Places to See Before You Die",26.08,In stock,Five,Travel,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/imagesd70f7edd92705c45a82118c3ff6c299d.jpg,11
Sharp Objects,47.82,In stock,Four,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images3251cf3a3412f53f339e42cac2134093.jpg,12
"In a Dark, Dark Wood",19.63,In stock,One,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images238570a1c284e730dbc737a7e631ae2b.jpg,13
The Past Never Ends,56.5,In stock,Four,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images89b850edb01851a91f64ba114b96acb6.jpg,14
A Murder in Time,16.64,In stock,One,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images11aaad48b5f15e262456ca65294084da.jpg,15
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,In stock,Four,Mystery,https://github.com/alicebiasilva/Pos_Tech_Machine_Learning_Engineer/blob/main/public/images29fe70b1b2e5a9ba61d4bd331255e19e.jpg,16
